Name,Price
"Смартфон Apple iPhone 12 128Gb,  MGJA3RU/A,  черный",68 990
"Смартфон Apple iPhone 12 128Gb,  MGJE3RU/A,  синий",68 990
"Смартфон Apple iPhone 12 mini 64Gb,  MGE03RU/A,  (PRODUCT)RED",68 990
"Смартфон Apple iPhone 12 128Gb,  MGJC3RU/A,  белый",68 990
"Смартфон Apple iPhone 12 mini 128Gb,  MGE43RU/A,  белый",53 990
"Смартфон Apple iPhone 12 128Gb,  MGJD3RU/A,  (PRODUCT)RED",53 990
"Смартфон Apple iPhone 12 64Gb,  MGJ93RU/A,  зеленый",68 990
"Смартфон Apple iPhone 12 64Gb,  MGJ53RU/A,  черный",68 990
"Смартфон Apple iPhone 12 64Gb,  MGJ83RU/A,  синий",59 990
"Смартфон Apple iPhone 12 128Gb,  MJNP3RU/A,  фиолетовый",59 990
"Смартфон Apple iPhone 12 mini 128Gb,  MGE53RU/A,  (PRODUCT)RED",68 990
"Смартфон Apple iPhone 12 128Gb,  MGJF3RU/A,  зеленый",68 990
"Смартфон Apple iPhone 12 Pro 128Gb,  MGMM3RU/A,  золотой",62 990
"Смартфон Apple iPhone 12 64Gb,  MJNM3RU/A,  фиолетовый",62 990
"Смартфон Apple iPhone 12 64Gb,  MGJ63RU/A,  белый",62 990
"Чехол (клип-кейс) Apple Silicone Case with MagSafe, для Apple iPhone 12 mini, черный",62 990
"Смартфон Apple iPhone 12 64Gb,  MGJ73RU/A,  (PRODUCT)RED",62 990
"Чехол (футляр) Apple Leather Sleeve with MagSafe, для Apple iPhone 12 mini, розовый цитрус",62 990
"Смартфон Apple iPhone 12 64Gb,  MGJ73RU/A,  (PRODUCT)RED",68 990
"Чехол (футляр) Apple Leather Sleeve with MagSafe, для Apple iPhone 12/12 Pro, золотисто-коричневый",68 990
"Чехол (клип-кейс) Apple Silicone Case with MagSafe, для Apple iPhone 12/12 Pro, черный",59 990
"Чехол (футляр) Apple Leather Sleeve with MagSafe, для Apple iPhone 12 Pro Max, золотисто-коричневый",59 990
"Чехол (футляр) Apple Leather Sleeve with MagSafe, для Apple iPhone 12/12 Pro, розовый цитрус",68 990
"Чехол (футляр) Apple Leather Sleeve with MagSafe, для Apple iPhone 12 Pro Max, темно-фиолетовый",68 990
"Чехол (клип-кейс) Apple Silicone Case with MagSafe, для Apple iPhone 12 mini, белый",111 990
"Смартфон Apple iPhone 12 Pro 512Gb,  MGMX3RU/A,  синий тихоокеанский",111 990
"Чехол (клип-кейс) Apple Silicone Case with MagSafe, для Apple iPhone 12/12 Pro, белый",62 990
"Чехол (футляр) Apple Leather Wallet with MagSafe, для Apple iPhone 12/12 Pro/12 mini/12 Pro Max, синий балтийский",62 990
"Чехол (клип-кейс) Apple Leather Case with MagSafe, для Apple iPhone 12 mini, золотой апельсин",62 990
"Чехол (футляр) Apple Leather Sleeve with MagSafe, для Apple iPhone 12 mini, темно-фиолетовый",62 990
"Чехол (футляр) Apple Leather Sleeve with MagSafe, для Apple iPhone 12 Pro Max, красный",4190
"Чехол (футляр) Apple Leather Sleeve with MagSafe, для Apple iPhone 12/12 Pro, синий балтийский",4190
"Чехол (футляр) Apple Leather Sleeve with MagSafe, для Apple iPhone 12 mini, золотисто-коричневый",62 990
"Чехол (клип-кейс) Apple Clear Case with MagSafe, для Apple iPhone 12 mini, прозрачный",62 990
"Чехол (клип-кейс) Apple Silicone Case with MagSafe, для Apple iPhone 12 mini, сливовый",8990
"Смартфон Apple iPhone 12 128Gb,  MGJD3RU/A,  (PRODUCT)RED",8990
"Чехол (футляр) Apple Leather Wallet with MagSafe, для Apple iPhone 12/12 Pro/12 mini/12 Pro Max, золотой апельсин",66 990
"Чехол (клип-кейс) Apple Leather Case with MagSafe, для Apple iPhone 12 Pro Max, красный",66 990
"Чехол (клип-кейс) Apple Leather Case with MagSafe, для Apple iPhone 12 mini, синий балтийский",8990
"Чехол (клип-кейс) Apple Leather Case with MagSafe, для Apple iPhone 12 mini, красный",8990
